file,event_group,event_start_time_utc,event_end_time_utc,event_start_seconds,event_end_seconds,event_duration_seconds,ENL_evidence,MOP_evidence,RPM_evidence,maximum_motor_evidence_count,start_latitude,start_longitude,pressure_altitude_at_start_m,gnss_altitude_at_start_m,analysis_altitude_at_start_m,pre_vertical_speed_mean_mps,post_vertical_speed_mean_mps,post_altitude_change_m,pre_window_rows,post_window_rows,ENL_event_max,ENL_pre_median,ENL_post_median,MOP_event_max,MOP_pre_median,MOP_post_median,RPM_event_max,RPM_pre_median,RPM_post_median
4536-9239003150.igc,2,19:42:04,19:42:37,70924.0,70957.0,34.0,True,False,False,1,29.1706,-99.75048333333334,812.0,860.0,860.0,3.059322033898305,-1.2457627118644068,-80.0,59,118,442.0,22.0,4.0,14.0,12.0,12.0,,,
4536-9239003150.igc,3,19:52:44,19:52:49,71564.0,71569.0,6.0,False,True,False,1,29.192966666666667,-99.73223333333334,1652.0,1750.0,1750.0,3.610169491525424,0.5546218487394958,94.0,59,119,40.0,4.0,4.0,912.0,12.0,12.0,,,
4536-9239003150.igc,4,22:59:30,22:59:43,82770.0,82783.0,14.0,False,True,False,1,28.949533333333335,-99.6483,1552.0,1620.0,1620.0,-2.2,-2.783333333333333,-335.0,60,120,4.0,4.0,4.0,998.0,12.0,59.0,,,
4536-9239003150.igc,5,23:00:08,23:00:17,82808.0,82817.0,10.0,False,True,False,1,28.973366666666667,-99.65556666666667,1450.0,1514.0,1514.0,-2.7666666666666666,-2.9491525423728815,-347.0,60,118,4.0,4.0,4.0,990.0,13.0,473.0,,,
4536-9239003150.igc,6,23:00:52,23:01:43,82852.0,82903.0,52.0,False,True,False,1,28.999433333333332,-99.66646666666666,1333.0,1380.0,1380.0,-3.4,-2.389830508474576,-369.0,60,118,4.0,4.0,4.0,998.0,12.0,532.0,,,
4536-9239003151.igc,1,21:14:51,21:15:39,76491.0,76539.0,49.0,False,True,False,1,29.16545,-99.83585,2024.0,2161.0,2161.0,-2.216666666666667,-0.8166666666666667,-199.0,60,120,4.0,4.0,4.0,201.0,17.0,131.0,,,
4536-9239003151.igc,2,21:24:24,21:25:23,77064.0,77123.0,60.0,False,True,False,1,28.987983333333332,-99.95841666666666,2040.0,2177.0,2177.0,0.6166666666666667,-1.418103448275862,-229.0,60,116,4.0,4.0,4.0,181.0,17.0,103.0,,,
4536-9239003151.igc,3,21:34:05,21:35:03,77645.0,77703.0,59.0,False,True,False,1,28.801633333333335,-100.03225,1931.0,2052.0,2052.0,-0.3793103448275862,-2.831932773109244,-536.0,58,119,4.0,4.0,4.0,237.0,21.0,211.0,,,
4536-9239003151.igc,4,21:50:28,21:51:10,78628.0,78670.0,43.0,False,True,False,1,28.5782,-100.25788333333334,1746.0,1850.0,1850.0,-0.5,-1.3833333333333333,-241.0,60,120,4.0,4.0,4.0,187.0,17.0,187.0,,,
4536-9239003151.igc,5,22:01:17,22:02:15,79277.0,79335.0,59.0,False,True,False,1,28.464733333333335,-100.20675,2277.0,2430.0,2430.0,0.6833333333333333,-2.15,-370.0,60,120,4.0,4.0,4.0,153.0,13.0,215.0,,,
4536-9239003151.igc,6,22:17:05,22:17:59,80225.0,80279.0,55.0,False,True,False,1,28.248866666666668,-99.93955,1870.0,1990.0,1990.0,0.5084745762711864,-2.2,-445.0,59,120,4.0,4.0,4.0,189.0,23.0,229.0,,,
4536-9239003151.igc,7,22:23:19,22:23:59,80599.0,80639.0,41.0,False,True,False,1,28.209516666666666,-99.81133333333334,1744.0,1849.0,1849.0,-0.559322033898305,-1.361344537815126,-153.0,59,119,4.0,4.0,4.0,155.0,25.0,61.0,,,
4536-9239003151.igc,8,22:40:55,22:41:54,81655.0,81714.0,60.0,False,True,False,1,28.089416666666665,-99.5715,1807.0,1921.0,1921.0,0.9,-0.475,-237.0,60,120,4.0,4.0,4.0,159.0,19.0,117.0,,,
4536-9239003151.igc,9,22:47:43,22:48:05,82063.0,82085.0,23.0,False,True,False,1,28.051416666666668,-99.3911,1238.0,1309.0,1309.0,-1.6610169491525424,1.8416666666666666,154.0,59,120,4.0,4.0,4.0,131.0,77.0,17.0,,,
4536-9239003151.igc,10,22:52:15,22:52:47,82335.0,82367.0,33.0,False,True,False,1,28.0632,-99.3503,1471.0,1566.0,1566.0,-0.4576271186440678,-1.1833333333333333,-150.0,59,120,4.0,4.0,4.0,127.0,21.0,97.0,,,
4536-9239003151.igc,11,23:08:31,23:09:03,83311.0,83343.0,33.0,False,True,False,1,28.191433333333332,-99.07895,1007.0,1061.0,1061.0,2.65,3.5294117647058822,549.0,60,119,4.0,4.0,4.0,43.0,19.0,31.0,,,
4536-9239003151.igc,12,23:14:21,23:14:28,83661.0,83668.0,8.0,False,True,False,1,28.215316666666666,-99.1124,1734.0,1837.0,1837.0,-2.364406779661017,-0.025,39.0,59,120,4.0,4.0,4.0,173.0,9.0,72.0,,,
4536-9239003151.igc,13,23:54:11,23:54:18,86051.0,86058.0,8.0,False,True,False,1,29.24315,-99.75901666666667,536.0,554.0,554.0,-3.4833333333333334,-2.406779661016949,-297.0,60,118,4.0,4.0,4.0,553.0,287.0,329.0,,,
