event_id,file,event_group,date,glider_type,recorder_type,event_start_time_utc,event_end_time_utc,event_start_seconds,event_end_seconds,event_duration_seconds,event_duration_log,brief_event_indicator,sustained_event_indicator,start_latitude,start_longitude,pressure_altitude_at_start_m,gnss_altitude_at_start_m,analysis_altitude_at_start_m,terrain_elevation_m,start_agl_m,applicable_agl_threshold_m,above_required_agl,pre_vertical_speed_mean_mps,post_vertical_speed_mean_mps,vertical_speed_change_mps,post_altitude_change_m,post_climb_indicator,vertical_response_improved,post_altitude_gain_indicator,post_altitude_loss_indicator,large_post_altitude_gain_indicator,ENL_evidence,MOP_evidence,RPM_evidence,ENL_event_max,ENL_pre_median,ENL_post_median,ENL_increase_from_pre,ENL_relative_increase,MOP_event_max,MOP_pre_median,MOP_post_median,MOP_increase_from_pre,MOP_relative_increase,RPM_event_max,RPM_pre_median,RPM_post_median,RPM_increase_from_pre,RPM_relative_increase,available_motor_sensor_count,observed_motor_signal_count,motor_evidence_coverage,descriptive_evidence_count,ENL_available,MOP_available,RPM_available,TAS_available,GSP_available,VAT_available,ACZ_available,pre_window_rows,post_window_rows,pre_window_complete,post_window_complete,complete_event_context,missing_start_altitude,missing_start_location,missing_vertical_response,source_processing_status,source_time_series_rows,source_candidate_event_count,sponsor_verified_label,decision_tree_classification,manual_review_status,review_notes
4536-9239003145.igc__event_17,4536-9239003145.igc,17,,Ventus 3M,"LXNAV,LX9070",22:15:54,22:15:54,80154.0,80154.0,1.0,0.6931471805599453,True,False,28.86095,-99.54423333333334,1666.0,1758.0,1758.0,,,,,-2.6,-0.0333333333333333,2.566666666666667,48.0,False,True,True,False,True,True,False,False,24.0,8.0,7.0,16.0,2.0,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_18,4536-9239003145.igc,18,,Ventus 3M,"LXNAV,LX9070",22:16:14,22:16:14,80174.0,80174.0,1.0,0.6931471805599453,True,False,28.870666666666665,-99.55026666666669,1718.0,1815.0,1815.0,,,,,-1.4333333333333331,-1.1,0.33333333333333304,-121.0,False,True,False,True,False,True,False,False,44.0,6.0,8.0,38.0,6.333333333333333,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_19,4536-9239003145.igc,19,,Ventus 3M,"LXNAV,LX9070",22:17:29,22:17:39,80249.0,80259.0,11.0,2.4849066497880004,False,False,28.90963333333333,-99.57345,1538.0,1622.0,1622.0,,,,,-2.216666666666667,-1.0916666666666666,1.1250000000000002,-111.0,False,True,False,True,False,True,False,False,72.0,10.0,24.0,62.0,6.2,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_20,4536-9239003145.igc,20,,Ventus 3M,"LXNAV,LX9070",22:18:15,22:18:16,80295.0,80296.0,2.0,1.0986122886681098,True,False,28.92963333333333,-99.5846,1601.0,1691.0,1691.0,,,,,0.3333333333333333,-2.408333333333333,-2.7416666666666667,-272.0,False,False,False,True,False,True,False,False,108.0,6.0,36.0,102.0,17.0,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_21,4536-9239003145.igc,21,,Ventus 3M,"LXNAV,LX9070",22:18:34,22:19:10,80314.0,80350.0,37.0,3.6375861597263857,False,True,28.9399,-99.58923333333334,1550.0,1636.0,1636.0,,,,,0.4,-2.841666666666667,-3.2416666666666667,-399.0,False,False,False,True,False,True,False,False,106.0,6.0,48.0,100.0,16.666666666666668,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,60,120,True,True,True,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003145.igc__event_22,4536-9239003145.igc,22,,Ventus 3M,"LXNAV,LX9070",22:28:47,22:29:16,80927.0,80956.0,30.0,3.4339872044851463,False,True,29.209816666666665,-99.74278333333334,275.0,259.0,259.0,,,,,-1.8,0.0,1.8,-2.0,False,True,False,True,False,True,False,False,388.0,4.0,4.0,384.0,96.0,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,60,42,True,False,False,False,False,False,processed,14657,22,,,not reviewed,
4536-9239003146.igc__event_1,4536-9239003146.igc,1,,Default,"LXNAV,LX9070",18:31:39,18:31:43,66699.0,66703.0,5.0,1.791759469228055,True,False,29.186733333333333,-99.74405,876.0,939.0,939.0,,,,,1.4067796610169492,-0.3644067796610169,-1.771186440677966,-9.0,False,False,False,True,False,True,False,False,70.0,4.0,4.0,66.0,16.5,,,,,,,,,,,1,1,1.0,1,True,False,False,True,True,True,True,59,118,True,True,True,False,False,False,processed,14655,6,,,not reviewed,
4536-9239003146.igc__event_2,4536-9239003146.igc,2,,Default,"LXNAV,LX9070",18:54:28,18:54:28,68068.0,68068.0,1.0,0.6931471805599453,True,False,29.23048333333333,-99.638,1677.0,1771.0,1771.0,,,,,0.3559322033898305,0.3135593220338983,-0.0423728813559322,17.0,True,False,True,False,False,True,False,False,56.0,68.0,999.0,-12.0,-0.17647058823529413,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,59,118,True,True,True,False,False,False,processed,14655,6,,,not reviewed,
4536-9239003146.igc__event_3,4536-9239003146.igc,3,,Default,"LXNAV,LX9070",18:54:56,18:55:43,68096.0,68143.0,48.0,3.8918202981106265,False,True,29.230216666666667,-99.64766666666668,1700.0,1798.0,1798.0,,,,,0.6271186440677966,-0.6271186440677966,-1.2542372881355932,-123.0,False,False,False,True,False,True,False,False,999.0,4.0,5.0,995.0,248.75,,,,,,,,,,,1,1,1.0,2,True,False,False,True,True,True,True,59,118,True,True,True,False,False,False,processed,14655,6,,,not reviewed,
4536-9239003146.igc__event_4,4536-9239003146.igc,4,,Default,"LXNAV,LX9070",22:28:32,22:29:03,80912.0,80943.0,32.0,3.4965075614664802,False,True,29.2319,-99.75663333333334,476.0,470.0,470.0,,,,,-2.05,-1.0212765957446808,1.028723404255319,-212.0,False,True,False,True,False,True,False,False,62.0,4.0,4.0,58.0,14.5,,,,,,,,,,,1,1,1.0,3,True,False,False,True,True,True,True,60,94,True,True,True,False,False,False,processed,14655,6,,,not reviewed,
