file,date,glider_type,recorder_type,gps_receiver,pressure_sensor,motor_sensor,extensions,b_record_count,valid_b_record_count,invalid_b_record_count,has_i_record,parse_error,FXA,ENL,MOP,RPM,TAS,GSP,VAT,NET,ACZ,AOR,AOP,OAT,extension_count
4536-9239003390.igc,,JS-3-18m,"LXNAV,LX9070PF","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10334,ET=58,32,58,32,3.30V,p=1),SW:200, HW:20","ACZ,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",18374,18374,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,12
4536-9239003391.igc,,JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ECURRENT,MOP-(SN:221,ET=33,11,33,11,3.32V,p=1),SW:100, HW:3","ACZ,COT,CU1,CU2,ENL,FXA,GSP,LE1,LE2,MOP,MOT,OAT,RPM,TAS,TRT,VAT,VO1,VO2",20996,20996,0,True,,True,True,True,True,True,True,True,False,True,False,False,True,18
4536-9239003392.igc,,JS3-18m,"LXNAV,LX9000","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10186,ET=113,26,113,26,0.04V,p=1),SW:100, HW:2","ACZ,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",21493,21493,0,True,,True,True,True,False,True,True,True,False,True,False,False,True,9
4536-9239003393.igc,"190824,1",Ventus 3T,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ECURRENT,MOP-(SN:296,ET=273,10,273,10,2.98V,p=1),SW:100, HW:1","ACZ,AOA,AOP,AOR,CUR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",21201,21105,96,True,,True,True,True,False,True,True,True,True,True,True,True,True,15
4536-9239003394.igc,"190824,1",JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ECURRENT,MOP-(SN:143,ET=76,19,76,19,0.05V,p=1),SW:201, HW:1","ACZ,AOA,AOP,AOR,CUR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",21543,21543,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,15
4536-9239003395.igc,,JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10226,ET=32,16,32,16,0.04V,p=1),SW:100, HW:2","ACZ,ENL,FXA,GSP,MOP,OAT,TAS,TRT,VAT",19268,19268,0,True,,True,True,True,False,True,True,True,False,True,False,False,True,9
4536-9239003396.igc,,JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M9N,92,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ECURRENT,MOP-(SN:342,ET=36,20,36,20,3.30V,p=1),SW:200, HW:20","ACZ,AOP,AOR,CUR,ENL,FXA,GSP,MOP,NET,OAT,TAS,TRT,VAT",20432,20432,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,13
4536-9239003397.igc,,AS33Es,"ClearNav Instr., ClearNav II",,"Intersema,MS5540C,20000",,"ENL,FXA,GSP",20244,20244,0,True,,True,True,False,False,False,True,False,False,False,False,False,False,3
4536-9239003398.igc,"190824,2",18m_N369QT_JS-3,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ACOUSTIC,MOP-(SN:10247,ET=87,37,87,37,0.03V,p=1),SW:201, HW:2","ACZ,AOA,AOP,AOR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",17860,17860,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,14
4536-9239003399.igc,"190824,1",JS-3-18m,"LXNAV,LX9070","uBLOX NEO-M8Q,72,max50000m","INTERSEMA,MS5561C,max16000m","LXV,ON,ECURRENT,MOP-(SN:208,ET=51,14,51,14,3.31V,p=1),SW:100, HW:3","ACZ,AOA,AOP,AOR,CUR,ENL,FXA,GSP,MOP,NET,OAT,SIU,TAS,TRT,VAT",20210,20210,0,True,,True,True,True,False,True,True,True,True,True,True,True,True,15
